10,aaaa,1,2,1,2,3,4,3,4,3,2,1,2,1,2,2,2,3,4,3,3
4,dddd,4,3,3,2,3,4,2,1,3,4,1,2,1,2,2,2,3,4,3,3
19,ssss,3,4,1,2,3,4,3,4,3,2,1,2,1,2,2,2,3,4,3,3
12,eeee,4,1,1,2,3,4,3,2,3,2,1,2,1,2,2,2,3,4,3,3
6,ffff,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,iiii,1,1,2,2,3,4,3,4,3,2,1,2,1,2,2,2,3,4,3,3
5,llll,4,3,4,2,3,4,3,4,3,1,1,2,1,2,2,2,3,4,3,3
2,bbbb,2,3,2,2,3,4,3,3,2,1,1,2,1,2,2,2,3,4,3,3
13,mmmm,4,1,1,2,2,4,3,4,3,1,1,2,1,2,3,2,3,4,3,3
9,rrrr,1,3,3,2,3,4,3,4,3,2,1,2,1,2,2,2,3,4,3,3
8,hhhh,1,3,1,2,3,4,3,4,3,2,1,2,1,2,2,2,3,4,3,3
15,oooo,2,4,1,2,4,4,3,4,3,2,1,2,1,2,2,2,3,4,3,3
18,nnnn,3,3,2,2,1,4,3,4,4,2,1,2,1,2,2,2,3,4,3,3
1,jjjj,2,3,3,2,1,4,3,4,3,2,1,2,1,2,2,2,3,4,3,3
